"TARGET"	"ANT_PM"	"EDAD"	"PROM_SALDO_ACTIVO_TOTAL_ULT_3M"	"PROM_NUM_PCON_ULT_6M"	"PROM_CUOTA_PCON_ULT_6M"	"PROM_IMP_NOMINA_ULT_6M"	"DELTA_IMP_NOMINA_0_5"	"PROM_TEN_PASIVO_ULT_6M"	"DELTA_SALDO_PASIVO_TOTAL_0_5"	"MAX_SALDO_PASIVO_TOTAL_ULT_6M"	"PROM_SALDO_MEDIO_CAHO_ULT_6M"	"PROM_SALDO_PASIVO_TOTAL_ULT_3M"	"PROM_TARJETAS_AJENAS_ULT_6M"	"PROM_NUMERO_ENTIDADES_ULT_6M"	"PROM_SCORE_RIESGO_ULT_3M"	"DELTA_LIMITE_LINEA_TDC_0_5"	"PROM_LIMITE_LINEA_TDC_ULT_1M"	"PROM_LINEA_DISPONIBLE_TDC_ULT_3M"	"PROM_SALDO_ACTUAL_TDC_ULT_1M"	"PROM_SALDO_CUOTAS_TDC_ULT_6M"	"PROM_IMPORTE_TDC_ULT_3M"	"PROM_NUM_OPERS_TDC_ULT_6M"
0	162	69	0	0	0	0	0	1	0.284916201117318	230	171.5	201.333333333333	3	4	1	0	5000	0	0	1695.58166503906	191.444999694824	2.4
1	111	66	0	0	0	0	0	1	-0.168090062111801	2576	2372.16666666667	2238	5	6.166666666666	1	0	19900	17747.5032552083	1084.18994140625	2800.66495768229	340.593332926432	3.333333333333
0	35	56	0	0	0	0	0	1	-0.999131654532095	14971	2506.33333333333	13.3333333333333	1.666666666666	3.333333333333	3	0	89900	0	0	61086.9928385417	5508.20336087545	6.5
0	61	59	0	0	0	1565.4	9999999	0.833333333333	9999999	1461	316.666666666667	601.666666666667	2.666666666666	5	3	0	5000	4786.66666666667	344.309997558594	245.608332316081	0	1
0	169	58	16703	1	884	0	0	1	0.793762171184817	64158	9709.16666666667	60726.3333333333	3.166666666666	4.5	1	2.33333333333333	25000	0	0	229.379999796549	242.400001525879	1.75
0	162	60	322767.666666667	1	4666	15653.6666666667	-0.00538948423889202	1	-0.772374547335748	4280	73.1666666666667	1720.33333333333	5	6	1	0	65000	0	0	719.151652018229	1766.2799911499	6.75
0	151	71	0	0	0	8918.5	-0.00941176470588235	1	-0.00844706469930404	184206	27825.8333333333	182833.666666667	4	5	1	0	46850	47177	0	0	0	0
0	164	68	0	0	0	0	0	1	-0.00115133296967305	430805	430569.833333333	430416	4.333333333333	6	1	0	20800	20800	0	0	0	0
0	70	66	11811	0	0	11936.1666666667	-0.0976146284457276	1	-0.397928636956207	48583	31010.6666666667	26171.3333333333	6.5	8.166666666666	1	0	1200	1225	0	0	0	0
1	92	71	0	2	11517	0	0	1	-1	492	0	1	0	2	1	0	0	0	0	0	0	0
0	85	68	0	0	0	0	0	1	-0.549689440993789	4010	0	775.333333333333	3	4	1	0	30900	0	0	0	861.063335736593	9.4
0	85	65	42317.3333333333	0	0	0	0	1	-0.875	4264	0	533	1.833333333333	3.833333333333	1	0	22050	12061.2400716146	14887.9697265625	8181.09505208333	0	0
0	130	76	0	0	0	2248.83333333333	0.0215113072255929	1	10.8516129032258	1979	1057.5	1145.66666666667	0	1.166666666666	3	0	0	0	0	0	0	0
0	89	58	0	0	0	6899.5	-0.0817884405670665	1	-0.239563385675986	5222	2936.66666666667	4043.66666666667	4	6	3	0	24750	24750	0	0	0	0
0	12	58	0	0	0	0	0	1	9999999	3603	741	1228.66666666667	4	5	1	0	0	0	0	0	0	0
0	86	58	29055	1	1518	17397	-0.0128706044587451	1	-0.167180976583772	24132	555	21654.3333333333	1	4.333333333333	3	0	28000	390.560017903646	10828.3203125	0	932.120004653931	18.166666666666
0	4	59	0	0	0	7043.66666666667	-0.450946643717728	1	3.6526508226691	16086	0	9635	0	2	3	0	6700	0	0	479.059997558594	416.803332010905	7.333333333333
0	112	60	383442.333333333	1	2884	0	0	1	1.05432554325543	20132	0	13631.3333333333	2.333333333333	6.666666666666	1	0	71000	3099.80997721354	21413.896484375	272.623331705729	1141.28332010905	5.833333333333
0	71	61	0	0	0	8039.83333333333	-0.0651407321920882	1	0.00237961926091825	14322	2063.66666666667	10836.3333333333	3	4	1	0	22333	12556.6402994792	9061.33984375	0	1430.42667643229	1.166666666666
0	6	59	21894.3333333333	1	1900	2887	0	1	-0.317820964149723	55676	7210.66666666667	41599.3333333333	4.166666666666	6.166666666666	1	9999999	1000	1000	0	0	0	0
0	1	60	0	0	0	0	0	1	0.889944972486243	13999	3421	1362.66666666667	1	2	3	0	0	0	0	0	0	0
0	88	44	0	0	0	6561.33333333333	0.0697206703910614	1	1.85360094451004	9790	4776.66666666667	3704	1.833333333333	4	1.666666666666	0	0	0	0	0	0	0
0	165	78	0	0	0	4359	1.18407596785975	1	2.26590038314176	6383	256	5243.33333333333	3.666666666666	6.833333333333	1	0	31100	0	0	1150.85831705729	3792.59667396545	11.666666666666
1	112	69	80439	1	2909	0	0	1	0	71	53	71	1.333333333333	3.333333333333	1.666666666666	0	60000	0	0	719.205001831055	496.449989318848	4.5
0	145	63	0	0	0	0	0	0.833333333333	-0.999658959143305	14661	4515	1043.66666666667	4.333333333333	7	1	-0.775700934579439	12000	0	0	0	3661.80330912272	37.5
0	81	59	0	0	0	5511.16666666667	0.938848008119767	1	0.04602064731062	59113	53657.8333333333	56100.6666666667	2	3	1	0	7200	6796.830078125	1291.76196289062	0	1206.04002380371	3.333333333333
0	165	60	0	0	0	3852.66666666667	-0.103423336547734	1	0.368375792755025	25765	23329	25099.3333333333	0	1	0.333333333333	0	0	0	0	0	0	0
